interview__key	interview__id	Roster_7_1__id	Q7_1_3	Label_Q7_1_3	Q7_1_4
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	11	200	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	75
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	17	300	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
02-94-78-82	bd5c4d0cf0e74f8d8e053e2d5179881a	16	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
02-94-78-82	bd5c4d0cf0e74f8d8e053e2d5179881a	18	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
02-94-78-82	bd5c4d0cf0e74f8d8e053e2d5179881a	20	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
99-84-08-27	632a3811a8e24a06baffa0e6a7464927	24	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
99-84-08-27	632a3811a8e24a06baffa0e6a7464927	26	-999999999	පෙට්ටි ගණන / Nuபுழுப் பெட்டிகளின் எண்ணிக்கை	
99-84-08-27	632a3811a8e24a06baffa0e6a7464927	99	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
90-30-79-33	793d8c7cbc0a48209820f6f42d79b502	11	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	-999999999
90-30-79-33	793d8c7cbc0a48209820f6f42d79b502	19	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
90-30-79-33	793d8c7cbc0a48209820f6f42d79b502	23	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
97-94-78-51	ba68e7aba71e4817bf684ed94783eed7	15	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	-999999999
62-32-09-54	bb1050cd9dfb49d499c88f80666c0bf6	16	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
62-32-09-54	bb1050cd9dfb49d499c88f80666c0bf6	20	-999999999	සතුන් ගණන / மிருகங்களின் எண்ணிக்கை	
