assignment__id	date	time	action	originator	role	responsible__name	responsible__role	old__value	new__value	comment
1	2026-02-26	04:44:56	1	admin	4	dhanu01	2			
1	2026-02-26	04:44:56	8	admin	4	dhanu01	2		-1	
1	2026-02-26	04:44:56	9	admin	4	dhanu01	2		0	
1	2026-02-26	04:44:56	6	admin	4	dhanu01	2		0	
1	2026-02-26	04:44:56	10	admin	4	dhanu01	2			
1	2026-03-10	05:24:50	7	siva	5	ayoo01	1			
1	2026-03-11	04:39:58	7	siva	5	ayoo08	1			
1	2026-03-11	09:44:06	7	siva	5	dhanu01	2			
2	2026-02-26	04:44:56	1	admin	4	dhanu01	2			
2	2026-02-26	04:44:56	8	admin	4	dhanu01	2		1	
2	2026-02-26	04:44:56	9	admin	4	dhanu01	2		0	
2	2026-02-26	04:44:56	6	admin	4	dhanu01	2		0	
2	2026-02-26	04:44:56	10	admin	4	dhanu01	2			
2	2026-03-10	05:24:53	7	siva	5	ayoo01	1			
2	2026-03-11	04:40:02	7	siva	5	ayoo08	1			
2	2026-03-11	09:44:09	7	siva	5	dhanu01	2			
3	2026-02-26	04:44:56	1	admin	4	dhanu01	2			
3	2026-02-26	04:44:56	8	admin	4	dhanu01	2		-1	
3	2026-02-26	04:44:56	9	admin	4	dhanu01	2		0	
3	2026-02-26	04:44:56	6	admin	4	dhanu01	2		0	
3	2026-02-26	04:44:56	10	admin	4	dhanu01	2			
3	2026-03-10	05:24:48	7	siva	5	ayoo01	1			
3	2026-03-11	04:39:55	7	siva	5	ayoo08	1			
3	2026-03-11	09:43:51	7	siva	5	dhanu01	2			
3	2026-03-21	10:06:34	7	dhanu01	2	ayoo02	1			
3	2026-03-21	10:06:58	4	ayoo02	1	ayoo02	1			
4	2026-02-26	04:44:56	1	admin	4	dhanu01	2			
4	2026-02-26	04:44:56	8	admin	4	dhanu01	2		1	
4	2026-02-26	04:44:56	9	admin	4	dhanu01	2		0	
4	2026-02-26	04:44:56	6	admin	4	dhanu01	2		0	
4	2026-02-26	04:44:56	10	admin	4	dhanu01	2			
4	2026-03-10	05:24:46	7	siva	5	ayoo01	1			
4	2026-03-10	10:18:21	7	siva	5	ayoo01	1			
4	2026-03-11	04:40:06	7	siva	5	ayoo08	1			
4	2026-03-11	09:44:14	7	siva	5	dhanu01	2			
5	2026-02-26	04:44:56	1	admin	4	dhanu01	2			
5	2026-02-26	04:44:56	8	admin	4	dhanu01	2		1	
5	2026-02-26	04:44:56	9	admin	4	dhanu01	2		0	
5	2026-02-26	04:44:56	6	admin	4	dhanu01	2		0	
5	2026-02-26	04:44:56	10	admin	4	dhanu01	2			
5	2026-03-10	05:25:01	7	siva	5	ayoo01	1			
5	2026-03-10	09:43:53	7	siva	5	ayoo02	1			
5	2026-03-10	10:36:11	7	siva	5	ayoo05	1			
5	2026-03-11	04:51:20	7	siva	5	ayoo07	1			
6	2026-02-26	04:44:56	1	admin	4	dhanu02	2			
6	2026-02-26	04:44:56	8	admin	4	dhanu02	2		1	
6	2026-02-26	04:44:56	9	admin	4	dhanu02	2		0	
6	2026-02-26	04:44:56	6	admin	4	dhanu02	2		0	
6	2026-02-26	04:44:56	10	admin	4	dhanu02	2			
6	2026-03-10	15:53:33	7	siva	5	ayoo51	1			
7	2026-02-26	04:44:56	1	admin	4	dhanu02	2			
7	2026-02-26	04:44:56	8	admin	4	dhanu02	2		1	
7	2026-02-26	04:44:56	9	admin	4	dhanu02	2		0	
7	2026-02-26	04:44:56	6	admin	4	dhanu02	2		0	
7	2026-02-26	04:44:56	10	admin	4	dhanu02	2			
7	2026-03-10	13:21:14	7	siva	5	ayoo51	1			
7	2026-03-10	13:24:40	7	siva	5	ayoo51	1			
7	2026-03-10	14:32:59	7	siva	5	ayoo51	1			
7	2026-03-10	15:51:45	7	siva	5	ayoo100	1			
7	2026-03-10	15:53:27	7	siva	5	ayoo51	1			
8	2026-02-26	04:44:56	1	admin	4	dhanu02	2			
8	2026-02-26	04:44:56	8	admin	4	dhanu02	2		1	
8	2026-02-26	04:44:56	9	admin	4	dhanu02	2		0	
8	2026-02-26	04:44:56	6	admin	4	dhanu02	2		0	
8	2026-02-26	04:44:56	10	admin	4	dhanu02	2			
8	2026-03-10	14:43:01	7	siva	5	ayoo100	1			
8	2026-03-10	15:33:10	7	siva	5	ayoo100	1			
8	2026-03-10	15:53:30	7	siva	5	ayoo51	1			
9	2026-02-26	04:44:56	1	admin	4	dhanu02	2			
9	2026-02-26	04:44:56	8	admin	4	dhanu02	2		1	
9	2026-02-26	04:44:56	9	admin	4	dhanu02	2		0	
9	2026-02-26	04:44:56	6	admin	4	dhanu02	2		0	
9	2026-02-26	04:44:56	10	admin	4	dhanu02	2			
9	2026-03-10	13:21:11	7	siva	5	ayoo51	1			
9	2026-03-10	13:24:38	7	siva	5	ayoo51	1			
9	2026-03-10	14:33:02	7	siva	5	ayoo51	1			
9	2026-03-10	15:51:44	7	siva	5	ayoo100	1			
9	2026-03-10	15:53:25	7	siva	5	ayoo51	1			
10	2026-02-26	04:44:56	1	admin	4	dhanu02	2			
10	2026-02-26	04:44:56	8	admin	4	dhanu02	2		-1	
10	2026-02-26	04:44:56	9	admin	4	dhanu02	2		0	
10	2026-02-26	04:44:56	6	admin	4	dhanu02	2		0	
