interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-02-26	13:37:08	12	ayoo01	1	ayoo01	1
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-02-26	13:37:08	0	ayoo01	1	dhanu01	2
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-02-26	13:37:08	20	ayoo01	1	ayoo01	1
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-02-26	13:37:08	1	ayoo01	1	ayoo01	1
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-02-26	13:37:08	2	ayoo01	1	ayoo01	1
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-02-26	13:37:49	3	ayoo01	1	dhanu01	2
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-02-26	13:40:43	7	dhanu01	2	ayoo01	1
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-02-26	14:07:47	3	ayoo01	1	dhanu01	2
64-14-16-04	2488cad0ed7e4691b63410149a36535c	2026-03-13	05:07:29	17	dhanu01	2	dhanu01	2
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	2026-03-21	08:07:59	12	ayoo02	1	ayoo02	1
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	2026-03-21	08:07:59	0	ayoo02	1	dhanu01	2
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	2026-03-21	08:07:59	20	ayoo02	1	ayoo02	1
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	2026-03-21	08:07:59	1	ayoo02	1	ayoo02	1
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	2026-03-21	08:07:59	2	ayoo02	1	ayoo02	1
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	2026-03-21	08:24:27	3	ayoo02	1	dhanu01	2
48-38-90-48	764fb25475bb404d9047f93931b3ebf2	2026-03-21	10:07:21	12	ayoo02	1	ayoo02	1
48-38-90-48	764fb25475bb404d9047f93931b3ebf2	2026-03-21	10:07:21	0	ayoo02	1	dhanu01	2
48-38-90-48	764fb25475bb404d9047f93931b3ebf2	2026-03-21	10:07:22	20	ayoo02	1	ayoo02	1
48-38-90-48	764fb25475bb404d9047f93931b3ebf2	2026-03-21	10:07:21	1	ayoo02	1	ayoo02	1
48-38-90-48	764fb25475bb404d9047f93931b3ebf2	2026-03-21	10:07:21	2	ayoo02	1	ayoo02	1
48-38-90-48	764fb25475bb404d9047f93931b3ebf2	2026-03-21	10:10:29	3	ayoo02	1	dhanu01	2
