interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
97-89-22-69	0c5999a356d34863a24468a67af74442	65	ayoo02	1	1	0	0	0	00.00:03:05	1
03-33-69-12	1919d173192c4e39bd218c66e2264d5d	65	ayoo02	1	1	0	1	0	00.00:03:47	10
64-14-16-04	2488cad0ed7e4691b63410149a36535c	100	ayoo01	1	1	0	0	0	00.00:01:47	3
46-93-09-28	3dde27ac27c24fb4b2bcf16dfbc58da1	65	ayoo02	1	1	0	0	0	00.00:00:25	6
70-52-54-83	45f01552ccdb474c8adb62d784295e10	65	ayoo02	1	2	0	0	0	00.00:20:22	18
41-92-15-07	5034cf7f76dc402f88f83969c3185a85	100	ayoo02	1	0	0	0	0	00.00:16:27	0
99-84-08-27	632a3811a8e24a06baffa0e6a7464927	65	ayoo02	1	1	0	2	0	00.00:02:37	33
50-76-44-04	7570d76334234aac9c3b2857db8f84ed	130	ayoo02	1	0	0	0	0	00.00:00:12	2
48-38-90-48	764fb25475bb404d9047f93931b3ebf2	130	ayoo02	1	0	0	0	0	00.00:03:06	4
90-30-79-33	793d8c7cbc0a48209820f6f42d79b502	65	ayoo01	1	2	0	4	0	00.00:02:33	22
73-36-55-22	84965fb3a17843ec9235ca11c39d7b0f	100	ayoo02	1	0	0	0	0	00.00:00:11	2
79-03-11-37	b2b7f4af9a1c4b909421c3038a5f52b3	65	ayoo02	1	1	0	0	0	00.00:00:35	11
97-94-78-51	ba68e7aba71e4817bf684ed94783eed7	65	ayoo01	1	3	0	1	0	00.00:05:39	31
62-32-09-54	bb1050cd9dfb49d499c88f80666c0bf6	65	ayoo02	1	1	0	4	0	00.00:02:48	24
02-94-78-82	bd5c4d0cf0e74f8d8e053e2d5179881a	130	ayoo02	1	0	0	3	0	00.00:08:11	25
